date,orders,revenue,order_category
2025-06-16,3203,197014.82,High
2025-07-07,3234,193056.67,High
2024-04-29,3202,247934.4,High
2024-05-13,2750,211791.29,Low
2025-07-14,3034,173788.22,Medium
2025-05-12,3364,209401.91,High
2025-08-18,2613,156308.14,Low
2025-08-11,2674,167385.24,Low
2024-07-08,2520,185851.13,Low
2025-04-07,3418,213143.09,High
2024-04-22,3047,234125.22,Medium
2024-10-21,2777,188430.16,Low
2024-08-12,2851,202458.66,Low
2024-09-30,2685,181077.77,Low
2025-03-31,3459,213919.1,High
2025-01-06,3641,228040.04,High
2024-08-19,2678,187225.48,Low
2025-03-03,4103,259560.6,High
2024-09-16,2780,188206.43,Low
2024-06-03,2962,223428.51,Low
2025-02-17,4539,290257.8,High
2024-11-18,2481,168640.7,Low
2025-02-24,4071,252742.95,High
2025-04-21,3323,239490.4,High
2024-05-27,3050,234068.35,Medium
2024-12-02,3234,212778.2,High
2024-07-01,2474,180418.23,Low
2024-11-11,2868,191075.7,Low
2024-08-05,2701,193728.84,Low
2024-10-14,2726,184215.13,Low
2024-12-23,2447,162837.18,Low
2025-08-04,2532,157218.53,Low
2025-06-30,3734,230920.84,High
2025-06-02,3348,206256.52,High
2024-08-26,3067,213626.52,Medium
2024-10-28,2868,185262.69,Low
2025-05-19,3493,223016.24,High
2025-07-21,2334,152080.49,Low
2024-09-09,2909,199239.47,Low
2025-03-10,4014,253248.31,High
2024-07-29,2701,195177.84,Low
2024-09-02,3086,213682.66,Medium
2025-03-24,3589,227113.1,High
2024-11-04,3053,202541.51,Medium
2024-11-25,5195,330587.78,High
2024-05-20,2841,219073.34,Low
2025-01-20,2893,185148.66,Low
2024-07-15,2190,170546.92,Low
2024-06-24,2708,202766.28,Low
2025-04-28,3487,218567.38,High
2024-05-06,2709,215256.34,Low
2025-01-13,3208,206584.37,High
2025-05-05,3054,196010.03,Medium
2024-12-16,1681,118676.97,Low
2024-12-30,4038,267967.52,High
2025-03-17,3824,244227.06,High
2025-01-27,3225,207440.97,High
2024-07-22,2360,174228.3,Low
2024-06-17,3026,225740.74,Medium
2025-06-23,3039,194206.08,Medium
2024-12-09,1815,124366.49,Low
2024-09-23,2883,195214.63,Low
2025-07-28,2643,156185.19,Low
2025-02-03,2710,170551.91,Low
2025-02-10,4298,264723.91,High
2024-06-10,3069,232605.32,Medium
2025-04-14,3077,200892.13,Medium
2025-06-09,3029,183298.49,Medium
2024-10-07,2669,185491.44,Low
2025-05-26,3899,249509.65,High
